rank,age,weight,squat,bench,dl,total,dots,squat_avg_avg,squat_avg_std,second_best_sq,squat_avg_rate_change,bench_avg_avg,bench_avg_std,second_best_bn,bench_avg_rate_change,dl_avg_avg,dl_avg_std,second_best_dl,dl_avg_rate_change,previous_comp_count,num_bests,num_days,federation_enc_cb,date_enc_cb,location_enc_cb,sex_enc_cb,equip_enc_cb,class_enc_cb,month_enc_cb,year_enc_cb,season_enc_cb,country_enc_cb,state_enc_cb,federation,date,location,sex,equip,class,month,year,season,country,state
1.0,30.0,123.4,573.2,292.1,485.0,1350.3,709.96,457.8633333333333,53.800172051132705,562.1,13.778888888888892,252.75833333333327,26.08057197547441,292.1,0.5105263157894746,412.3558333333333,39.51026681343196,479.5,-1.3386363636363632,37.0,11.0,8.0,642.7091372815704,589.7037727768418,600.876534095121,392.87895872643446,633.5014010502831,364.077357985526,598.802104339951,586.2879725490801,602.2687504224624,603.7017154803946,600.876534095121,WRPF,2019-04-27,USA-CA,F,Wraps,123,4,2019,spring,USA,CA
2.0,24.0,177.2,639.3,374.8,595.2,1609.3,686.14,552.4833333333332,50.01425630091216,639.3,-9.019696969696973,344.64230769230767,24.61581339770776,374.8,-7.013636363636363,580.8115384615385,30.97754666586585,622.8,-8.595454545454551,14.0,105.0,0.0,594.8286982995155,584.321602359473,594.9519751474677,392.87895872643446,633.5014010502831,554.5078905033072,595.3700438313906,586.2879725490801,595.5965057790327,603.7017154803946,594.9519751474677,USPA,2019-08-03,USA-TX,F,Wraps,181,8,2019,summer,USA,TX
3.0,27.0,119.9,507.0,242.5,529.1,1278.6,685.45,382.1266666666668,61.1095272233415,496.0,-8.271428571428569,189.0630952380953,29.203765547633953,231.45,-5.811111111111113,440.4827380952382,58.33895984442599,518.1,-4.177083333333333,15.0,11.0,0.0,642.7091372815704,589.7037727768418,600.876534095121,392.87895872643446,633.5014010502831,364.077357985526,598.802104339951,586.2879725490801,602.2687504224624,603.7017154803946,600.876534095121,WRPF,2019-04-27,USA-CA,F,Wraps,123,4,2019,spring,USA,CA
4.0,27.0,147.6,565.0,320.0,550.0,1435.0,675.19,358.71777777777777,102.08816596270908,545.6,-20.75714285714286,228.2800000000001,52.35768738754061,319.6,-9.257142857142858,406.89333333333326,71.96095634505727,529.1,-11.328571428571431,16.0,40.0,1.0,644.3928268362765,622.4977349063154,598.2455875497524,392.87895872643446,633.5014010502831,443.3055043272288,590.2245282699661,586.2879725490801,593.187145237798,603.7017154803946,598.2455875497524,XPC,2019-03-02,USA-OH,F,Wraps,148,3,2019,winter,USA,OH
5.0,39.0,164.7,628.3,330.7,562.1,1521.2,673.47,480.4877777777778,63.45240575656921,592.45,-8.719230769230753,302.5119047619047,29.556729770481628,330.6666666666667,-8.866666666666662,508.465625,50.87895965799253,558.4666666666667,-11.037777777777784,16.0,94.0,6.0,686.7560021449755,673.3707529493413,600.876534095121,392.87895872643446,633.5014010502831,493.1739740135498,595.3700438313906,586.2879725490801,595.5965057790327,603.7017154803946,600.876534095121,USA-UA,2019-08-30,USA-CA,F,Wraps,165,8,2019,summer,USA,CA
6.0,28.0,173.2,617.3,352.7,584.2,1554.2,670.2,450.93,89.02107594813135,575.9000000000002,-29.638888888888893,280.0388888888889,43.62534670831712,341.7,-10.840000000000005,500.1038461538463,70.04412701536607,584.2,-21.042424242424246,14.0,105.0,7.0,594.8286982995155,584.321602359473,594.9519751474677,392.87895872643446,633.5014010502831,554.5078905033072,595.3700438313906,586.2879725490801,595.5965057790327,603.7017154803946,594.9519751474677,USPA,2019-08-03,USA-TX,F,Wraps,181,8,2019,summer,USA,TX
7.0,28.0,220.4,917.1,518.1,914.9,2350.1,656.14,791.5973809523807,115.34476582468427,970.0,-4.316304347826086,494.6158119658122,77.53484643391619,650.3,-10.322988505747123,811.3999999999997,122.06016258437252,992.0,-5.462708333333326,51.0,161.0,13.0,686.7560021449755,673.3707529493413,600.876534095121,629.5156326410066,633.5014010502831,639.0066415650807,595.3700438313906,586.2879725490801,595.5965057790327,603.7017154803946,600.876534095121,USA-UA,2019-08-30,USA-CA,M,Wraps,220,8,2019,summer,USA,CA
8.0,39.0,162.0,578.7,308.6,567.7,1455.0,649.78,420.76666666666665,90.97512010782113,569.5000000000001,-13.000000000000016,216.46466666666663,41.87180787169864,308.6,-6.2025000000000015,434.68456790123435,55.55336098941843,534.6,-8.270454545454543,31.0,101.0,0.0,594.8286982995155,619.9100890082374,594.9519751474677,392.87895872643446,633.5014010502831,493.1739740135498,591.4600763028324,585.1374066582274,595.5965057790327,603.7017154803946,594.9519751474677,USPA,2020-07-11,USA-TX,F,Wraps,165,7,2020,summer,USA,TX
9.0,36.0,147.6,536.8,315.2,518.1,1370.1,644.68,408.75,82.79860159402405,536.8,-40.06333333333332,256.3178571428572,39.078437394295776,315.2,-18.421666666666663,483.31875,47.281056970147006,518.1,-18.504166666666674,9.0,34.0,8.0,637.6707088524016,578.8371792464388,614.5624470600918,392.87895872643446,633.5014010502831,443.3055043272288,590.2245282699661,602.165298784257,593.187145237798,603.7017154803946,614.5624470600918,RPS,2018-03-10,USA-NC,F,Wraps,148,3,2018,winter,USA,NC
10.0,44.0,180.4,610.0,310.0,580.0,1500.0,633.99,530.9270833333333,64.20141364400702,610.0,-10.714285714285714,271.24583333333334,26.959686983016372,310.0,-4.642857142857143,510.6529411764706,42.20682879652088,562.1,-8.666666666666666,18.0,46.0,2.0,636.0744984111911,599.0926977038896,598.2455875497524,392.87895872643446,633.5014010502831,554.5078905033072,598.802104339951,608.9964132557909,602.2687504224624,603.7017154803946,598.2455875497524,SPF,2017-04-22,USA-OH,F,Wraps,181,4,2017,spring,USA,OH
